Entity Code,Entity Name,Attribute Name,Attribute Value,Value Type,Is Primary,Category,Effective Date,Comments
GB001,The GlobalBeverage Company,Market Cap,250000000000,Number,TRUE,Financial,2024-12-31,Market capitalization in USD
GB001,The GlobalBeverage Company,Stock Exchange,NYSE,Text,TRUE,Regulatory,1919-09-05,Listed on New York Stock Exchange
GB001,The GlobalBeverage Company,Stock Ticker,GBC,Text,TRUE,Regulatory,1919-09-05,NYSE ticker symbol
GB001,The GlobalBeverage Company,Daily Servings,1900000000,Number,TRUE,Operational,2024-12-31,Daily beverage servings globally
GB001,The GlobalBeverage Company,Annual Revenue,43000000000,Number,TRUE,Financial,2024-12-31,Net operating revenues
GB001,The GlobalBeverage Company,Total Employees,82500,Number,TRUE,Operational,2024-12-31,Global employee count
GB001,The GlobalBeverage Company,Brand Portfolio,200,Number,TRUE,Business,2024-12-31,Total number of beverage brands
GB001,The GlobalBeverage Company,Countries Served,200,Number,TRUE,Operational,2024-12-31,Countries and territories served
GB001,The GlobalBeverage Company,Bottling Partners,225,Number,TRUE,Business,2024-12-31,Independent bottling partners globally
GB001,The GlobalBeverage Company,Marketing Investment,4500000000,Number,TRUE,Financial,2024-12-31,Global marketing and advertising spend
GB001,The GlobalBeverage Company,Sustainability Investment,1000000000,Number,TRUE,Financial,2024-12-31,Annual sustainability programs investment
GBCON001,GlobalBeverage Concentrates LLC,Concentrate Production Volume,900000000,Number,TRUE,Operational,2024-12-31,Unit cases of concentrate annually in gallons
GBCON001,GlobalBeverage Concentrates LLC,Manufacturing Plants,45,Number,TRUE,Operational,2024-12-31,Concentrate production facilities globally
GBCON001,GlobalBeverage Concentrates LLC,Secret Formula Locations,3,Number,TRUE,Business,2024-12-31,Locations with access to core formula
GBNAB001,GlobalBeverage North America Bottling LLC,Production Volume,5500000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually
GBNAB001,GlobalBeverage North America Bottling LLC,Bottling Plants,95,Number,TRUE,Operational,2024-12-31,Company-owned bottling facilities
GBNAB001,GlobalBeverage North America Bottling LLC,Distribution Centers,430,Number,TRUE,Operational,2024-12-31,Distribution points in North America
GBNAB001,GlobalBeverage North America Bottling LLC,Vending Machines,750000,Number,TRUE,Operational,2024-12-31,Vending machines operated
GBNAB001,GlobalBeverage North America Bottling LLC,Coolers Deployed,3000000,Number,TRUE,Operational,2024-12-31,Coolers and dispensers in market
GBBM001,GlobalBeverage Brand Marketing Inc.,Advertising Spend,4000000000,Number,TRUE,Financial,2024-12-31,Global advertising expenditure
GBBM001,GlobalBeverage Brand Marketing Inc.,Olympic Sponsorships,95,Number,TRUE,Business,2024-12-31,Years of Olympic Games sponsorship
GBBM001,GlobalBeverage Brand Marketing Inc.,FIFA Sponsorships,30,Number,TRUE,Business,2024-12-31,Years of FIFA World Cup sponsorship
GBBM001,GlobalBeverage Brand Marketing Inc.,Digital Engagement,150000000,Number,TRUE,Business,2024-12-31,Social media followers across platforms
GBMX001,GlobalBeverage Mexico S.A. de C.V.,Production Volume,3200000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in Mexico
GBMX001,GlobalBeverage Mexico S.A. de C.V.,Market Share,67%,Text,TRUE,Business,2024-12-31,Mexican soft drink market share
GBMX001,GlobalBeverage Mexico S.A. de C.V.,Per Capita Consumption,730,Number,TRUE,Business,2024-12-31,Servings per person per year
GBBR001,GlobalBeverage Brasil Ltda.,Production Volume,2800000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in Brazil
GBBR001,GlobalBeverage Brasil Ltda.,Market Share,45%,Text,TRUE,Business,2024-12-31,Brazilian soft drink market share
GBBR001,GlobalBeverage Brasil Ltda.,Distribution Points,1200000,Number,TRUE,Operational,2024-12-31,Retail outlets served
GBEU001,GlobalBeverage Europe GmbH,Production Volume,4500000000,Number,TRUE,Operational,2024-12-31,Unit cases bottled annually in Europe
GBEU001,GlobalBeverage Europe GmbH,Bottling Plants,65,Number,TRUE,Operational,2024-12-31,European bottling facilities
