DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
GV001,2024-12-31,Ultimate parent company creation,GVH001,GlobalVentures Holdings Inc.,GVH001,GlobalVentures Holdings Inc,Corporation,200000001,1965-01-01,,,12-31,USA,Delaware,1965-01-01,Active,TRUE,USD,USD,USD,Diversified holding company - Berkshire Hathaway style conglomerate,Diversified Holdings,3555 Farnam Street,Omaha,Douglas,68131,USA,Nebraska,North America,Conglomerate,Diversified Holdings,Investment Company,Complex,Holding Company,Ultimate Parent Entity,FALSE,FALSE,FALSE,FALSE,Ultimate Parent Entity,In Scope,FALSE,FALSE
GV002,2024-12-31,Primary insurance subsidiary,GVI001,GlobalVentures Insurance Company,GVI001,GlobalVentures Insurance Company,Corporation,200000002,1967-06-01,,,12-31,USA,Connecticut,1967-06-01,Active,TRUE,USD,USD,USD,Property and casualty insurance - provides float for investments,Insurance,280 Trumbull Street,Hartford,Hartford,06103,USA,Connecticut,North America,Insurance,Property & Casualty,Commercial Insurance,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV003,2024-12-31,Reinsurance subsidiary creation,GVR001,GlobalVentures Reinsurance Ltd,GVR001,GlobalVentures Reinsurance Ltd,Corporation,200000003,1970-03-15,,,12-31,Bermuda,,1970-03-15,Active,TRUE,USD,USD,USD,Global reinsurance operations,Reinsurance,73 Front Street,Hamilton,,HM 12,Bermuda,Hamilton,North America,Insurance,Reinsurance,Global Reinsurance,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV004,2024-12-31,Auto insurance subsidiary,GVA001,GlobalVentures Auto Insurance Corp,GVA001,GlobalVentures Auto Insurance Corp,Corporation,200000004,1996-01-01,,,12-31,USA,Maryland,1996-01-01,Active,TRUE,USD,USD,USD,Direct auto insurance provider,Auto Insurance,5260 Western Avenue,Chevy Chase,Montgomery,20815,USA,Maryland,North America,Insurance,Auto Insurance,Direct to Consumer,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV005,2024-12-31,Railroad company acquisition,GVT001,GlobalVentures Transportation Systems Inc.,GVT001,GlobalVentures Transportation Systems Inc,Corporation,200000005,2010-02-01,,,12-31,USA,Texas,2010-02-01,Active,TRUE,USD,USD,USD,Class I freight railroad network,Railroad Transportation,2650 Lou Menk Drive,Fort Worth,Tarrant,76131,USA,Texas,North America,Transportation,Railroad,Freight Rail,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV006,2024-12-31,Energy holding company,GVE001,GlobalVentures Energy Holdings LLC,GVE001,GlobalVentures Energy Holdings LLC,LLC,200000006,1999-07-01,,,12-31,USA,Iowa,1999-07-01,Active,TRUE,USD,USD,USD,Energy and utilities holding company,Energy & Utilities,666 Grand Avenue,Des Moines,Polk,50309,USA,Iowa,North America,Energy,Utilities,Diversified Energy,Complex,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV007,2024-12-31,Electric utility subsidiary,GVEU001,GlobalVentures Electric Utility Co.,GVEU001,GlobalVentures Electric Utility Co,Corporation,200000007,2000-01-01,,,12-31,USA,Nevada,2000-01-01,Active,TRUE,USD,USD,USD,Regional electric utility provider,Electric Utility,6226 West Sahara Avenue,Las Vegas,Clark,89146,USA,Nevada,North America,Energy,Electric Utility,Power Generation,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV008,2024-12-31,Natural gas pipeline company,GVNG001,GlobalVentures Natural Gas Pipeline LLC,GVNG001,GlobalVentures Natural Gas Pipeline LLC,LLC,200000008,2002-06-01,,,12-31,USA,Wyoming,2002-06-01,Active,TRUE,USD,USD,USD,Interstate natural gas pipeline system,Natural Gas Pipeline,5 West First Street,Casper,Natrona,82601,USA,Wyoming,North America,Energy,Natural Gas,Pipeline Transportation,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV009,2024-12-31,Manufacturing holding company,GVM001,GlobalVentures Manufacturing Group Inc.,GVM001,GlobalVentures Manufacturing Group Inc,Corporation,200000009,1972-01-01,,,12-31,USA,Ohio,1972-01-01,Active,TRUE,USD,USD,USD,Manufacturing and industrial holding company,Manufacturing,1 Precision Castparts Way,Cleveland,Cuyahoga,44114,USA,Ohio,North America,Manufacturing,Industrial,Diversified Manufacturing,Complex,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV010,2024-12-31,Aerospace components manufacturer,GVAC001,GlobalVentures Aerospace Components Corp,GVAC001,GlobalVentures Aerospace Components Corp,Corporation,200000010,2016-01-15,,,12-31,USA,Oregon,2016-01-15,Active,TRUE,USD,USD,USD,Precision aerospace parts manufacturer,Aerospace Manufacturing,4650 SW Macadam Avenue,Portland,Multnomah,97239,USA,Oregon,North America,Manufacturing,Aerospace,Components & Parts,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV011,2024-12-31,Chemical company acquisition,GVCH001,GlobalVentures Chemical Corporation,GVCH001,GlobalVentures Chemical Corporation,Corporation,200000011,2011-03-01,,,12-31,USA,Ohio,2011-03-01,Active,TRUE,USD,USD,USD,Specialty chemicals and lubricants manufacturer,Chemical Manufacturing,29400 Lakeland Boulevard,Wickliffe,Lake,44092,USA,Ohio,North America,Manufacturing,Chemicals,Specialty Chemicals,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV012,2024-12-31,Building products manufacturer,GVBP001,GlobalVentures Building Products Inc.,GVBP001,GlobalVentures Building Products Inc,Corporation,200000012,1982-06-01,,,12-31,USA,Michigan,1982-06-01,Active,TRUE,USD,USD,USD,Manufactured housing and building products,Building Products,3225 Orchard Vista Drive,Troy,Oakland,48084,USA,Michigan,North America,Manufacturing,Building Materials,Residential Construction,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV013,2024-12-31,Tool manufacturing company,GVTL001,GlobalVentures Industrial Tools LLC,GVTL001,GlobalVentures Industrial Tools LLC,LLC,200000013,1993-04-01,,,12-31,USA,Connecticut,1993-04-01,Active,TRUE,USD,USD,USD,Industrial and commercial tools manufacturer,Tool Manufacturing,1000 Stanley Drive,New Britain,Hartford,06053,USA,Connecticut,North America,Manufacturing,Tools & Equipment,Industrial Tools,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV014,2024-12-31,Retail holding company,GVRH001,GlobalVentures Retail Holdings Inc.,GVRH001,GlobalVentures Retail Holdings Inc,Corporation,200000014,1983-01-01,,,12-31,USA,Nebraska,1983-01-01,Active,TRUE,USD,USD,USD,Retail and consumer goods holding company,Retail Holdings,1314 Douglas Street,Omaha,Douglas,68102,USA,Nebraska,North America,Retail,Consumer Goods,Diversified Retail,Complex,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV015,2024-12-31,Furniture retail chain,GVFR001,GlobalVentures Furniture Stores Inc.,GVFR001,GlobalVentures Furniture Stores Inc,Corporation,200000015,1983-05-01,,,12-31,USA,Nebraska,1983-05-01,Active,TRUE,USD,USD,USD,Home furnishings retail chain,Furniture Retail,1 Berkshire Way,Omaha,Douglas,68114,USA,Nebraska,North America,Retail,Furniture,Home Furnishings,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV016,2024-12-31,Jewelry retail chain,GVJR001,GlobalVentures Jewelry Corp,GVJR001,GlobalVentures Jewelry Corp,Corporation,200000016,1989-08-01,,,12-31,USA,New York,1989-08-01,Active,TRUE,USD,USD,USD,Fine jewelry retail chain,Jewelry Retail,15 West 47th Street,New York,New York,10036,USA,New York,North America,Retail,Jewelry,Luxury Retail,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV017,2024-12-31,Candy manufacturing company,GVCD001,GlobalVentures Candies Inc.,GVCD001,GlobalVentures Candies Inc,Corporation,200000017,1972-01-01,,,12-31,USA,California,1972-01-01,Active,TRUE,USD,USD,USD,Premium chocolate and candy manufacturer,Candy Manufacturing,210 El Camino Real,South San Francisco,San Mateo,94080,USA,California,North America,Manufacturing,Food Products,Confectionery,Low,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV018,2024-12-31,Ice cream franchise,GVIC001,GlobalVentures Ice Cream International Inc.,GVIC001,GlobalVentures Ice Cream International Inc,Corporation,200000018,1998-01-01,,,12-31,USA,Minnesota,1998-01-01,Active,TRUE,USD,USD,USD,Ice cream and fast food franchise operator,Food Service Franchise,7505 Metro Boulevard,Minneapolis,Hennepin,55439,USA,Minnesota,North America,Retail,Food Service,Quick Service Restaurant,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV019,2024-12-31,Apparel manufacturing,GVAP001,GlobalVentures Apparel Group LLC,GVAP001,GlobalVentures Apparel Group LLC,LLC,200000019,2002-08-01,,,12-31,USA,Kentucky,2002-08-01,Active,TRUE,USD,USD,USD,Underwear and casual apparel manufacturer,Apparel Manufacturing,1 Fruit of the Loom Drive,Bowling Green,Warren,42103,USA,Kentucky,North America,Manufacturing,Apparel,Basic Apparel,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV020,2024-12-31,Private jet services,GVPJ001,GlobalVentures Aviation Services Inc.,GVPJ001,GlobalVentures Aviation Services Inc,Corporation,200000020,1998-09-01,,,12-31,USA,Ohio,1998-09-01,Active,TRUE,USD,USD,USD,Fractional jet ownership and charter services,Aviation Services,4111 Bridgeway Avenue,Columbus,Franklin,43219,USA,Ohio,North America,Transportation,Aviation,Business Aviation,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV021,2024-12-31,Battery manufacturing,GVBT001,GlobalVentures Battery Technologies Inc.,GVBT001,GlobalVentures Battery Technologies Inc,Corporation,200000021,2016-03-01,,,12-31,USA,Connecticut,2016-03-01,Active,TRUE,USD,USD,USD,Consumer and industrial battery manufacturer,Battery Manufacturing,14 Research Drive,Bethel,Fairfield,06801,USA,Connecticut,North America,Manufacturing,Electronics,Energy Storage,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV022,2024-12-31,Paint manufacturing,GVPT001,GlobalVentures Paint Company,GVPT001,GlobalVentures Paint Company,Corporation,200000022,2011-07-01,,,12-31,USA,Ohio,2011-07-01,Active,TRUE,USD,USD,USD,Architectural and industrial coatings manufacturer,Paint Manufacturing,101 W Prospect Avenue,Cleveland,Cuyahoga,44115,USA,Ohio,North America,Manufacturing,Chemicals,Paints & Coatings,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GV023,2024-12-31,Trailer manufacturing,GVTR001,GlobalVentures Trailer Manufacturing LLC,GVTR001,GlobalVentures Trailer Manufacturing LLC,LLC,200000023,2015-01-01,,,12-31,USA,Indiana,2015-01-01,Active,TRUE,USD,USD,USD,Commercial trailer and RV manufacturer,Trailer Manufacturing,2701 Cambridge Court,Auburn,DeKalb,46706,USA,Indiana,North America,Manufacturing,Transportation Equipment,Trailers & RVs,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
