DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
TG001,2024-12-31,Ultimate parent company creation,TGHI001,TechGlobal Holdings Inc.,TGHI001,TechGlobal Holdings Inc,Corporation,123000001,2014-01-01,,,12-31,USA,Delaware,2014-01-01,Active,TRUE,USD,USD,USD,Ultimate parent holding company for global technology operations,Technology Holding,1209 Orange Street,Wilmington,New Castle,19801,USA,Delaware,North America,Technology,Software,Enterprise Software,Complex,Holding Company,Ultimate Parent Entity,FALSE,FALSE,FALSE,FALSE,Ultimate Parent Entity,In Scope,FALSE,FALSE
TG002,2024-12-31,Americas regional holding company creation,TGAM001,TechGlobal Americas Holdings LLC,TGAM001,TechGlobal Americas Holdings LLC,LLC,123000002,2014-06-01,,,12-31,USA,Delaware,2014-06-01,Active,TRUE,USD,USD,USD,Regional holding company for Americas operations,Technology Holding,1209 Orange Street,Wilmington,New Castle,19801,USA,Delaware,North America,Technology,Software,Enterprise Software,Complex,Holding Company,Intermediate Parent Entity,FALSE,FALSE,FALSE,FALSE,Intermediate Parent Entity,In Scope,FALSE,FALSE
TG003,2024-12-31,EMEA regional holding company creation,TGEM001,TechGlobal EMEA Holdings Limited,TGEM001,TechGlobal EMEA Holdings Limited,Corporation,123000003,2015-03-15,,,12-31,United Kingdom,England,2015-03-15,Active,TRUE,GBP,USD,USD,Regional holding company for Europe Middle East and Africa operations,Technology Holding,25 Canada Square,London,,E14 5LQ,United Kingdom,England,Europe,Technology,Software,Enterprise Software,Complex,Holding Company,Intermediate Parent Entity,FALSE,FALSE,FALSE,FALSE,Intermediate Parent Entity,In Scope,FALSE,FALSE
TG004,2024-12-31,APAC regional holding company creation,TGAP001,TechGlobal APAC Holdings Pte Ltd,TGAP001,TechGlobal APAC Holdings Pte Ltd,Corporation,123000004,2015-09-01,,,12-31,Singapore,,2015-09-01,Active,TRUE,SGD,USD,USD,Regional holding company for Asia Pacific operations,Technology Holding,1 Marina Boulevard,Singapore,,018989,Singapore,Singapore,Asia Pacific,Technology,Software,Enterprise Software,Complex,Holding Company,Intermediate Parent Entity,FALSE,FALSE,FALSE,FALSE,Intermediate Parent Entity,In Scope,FALSE,FALSE
TG005,2024-12-31,US operating company creation,TGUS001,TechGlobal USA Inc.,TGUS001,TechGlobal USA Inc,Corporation,123000005,2014-02-01,,,12-31,USA,Delaware,2014-02-01,Active,TRUE,USD,USD,USD,Primary US operating subsidiary,Technology Operations,500 Terry Francine Street,San Francisco,San Francisco,94158,USA,California,North America,Technology,Software,Enterprise Software,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG006,2024-12-31,Canadian operating company creation,TGCA001,TechGlobal Canada Inc.,TGCA001,TechGlobal Canada Inc,Corporation,123000006,2016-04-01,,,12-31,Canada,Ontario,2016-04-01,Active,TRUE,CAD,USD,USD,Canadian operating subsidiary for North American expansion,Technology Operations,181 Bay Street,Toronto,Toronto,M5J 2T3,Canada,Ontario,North America,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG007,2024-12-31,UK operating company creation,TGUK001,TechGlobal UK Limited,TGUK001,TechGlobal UK Limited,Limited Company,123000007,2015-06-01,,,12-31,United Kingdom,England,2015-06-01,Active,TRUE,GBP,USD,USD,UK operating subsidiary serving European markets,Technology Operations,123 Victoria Street,London,,SW1E 6DE,United Kingdom,England,Europe,Technology,Software,Enterprise Software,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG008,2024-12-31,German operating company creation,TGDE001,TechGlobal Germany GmbH,TGDE001,TechGlobal Germany GmbH,GmbH,123000008,2016-01-15,,,12-31,Germany,Bavaria,2016-01-15,Active,TRUE,EUR,USD,USD,German subsidiary for DACH market operations,Technology Operations,Maximilianstrasse 35,Munich,,80539,Germany,Bavaria,Europe,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG009,2024-12-31,French operating company creation,TGFR001,TechGlobal France SAS,TGFR001,TechGlobal France SAS,SAS,123000009,2016-08-01,,,12-31,France,,2016-08-01,Active,TRUE,EUR,USD,USD,French subsidiary for French market operations,Technology Operations,75 Avenue des Champs-Élysées,Paris,,75008,France,Paris,Europe,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
TG010,2024-12-31,Japanese operating company creation,TGJP001,TechGlobal Japan K.K.,TGJP001,TechGlobal Japan K.K.,Corporation,123000010,2017-02-01,,,12-31,Japan,,2017-02-01,Active,TRUE,JPY,USD,USD,Japanese subsidiary for Japan market operations,Technology Operations,1-1-1 Shibuya,Tokyo,,150-0002,Japan,Tokyo,Asia Pacific,Technology,Software,Enterprise Software,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
